Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872,1999
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,1934
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449,1932
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888)
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1140859,1985
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,815094,1981
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,6281,1965
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,7084,1902
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",1981-03-31,8670,1949
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",1989-12-01,769397,1982
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,5272,1919
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",2003-03-14,922864,1994 (1975)
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",2007-04-10,1267238,1892
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,354190,1927
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1097149,1997
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",2016-05-13,766421,1985
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051,1931
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2012-05-25,899866,1992
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,6951,1967
AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860)
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1596532,2004
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014 (1940s)
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,315293,1982 (1919)
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,6769,1954
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969,1940
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,1521332,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,718877,2008
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,915912,1978
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",2014-05-08,1730168,1961
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",1987-12-31,8818,1990
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",1976-06-30,4962,1850
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,866787,1979
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04,12927,1916
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874)
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456,1931
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,764478,1966
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693,1870
BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,12208,1952
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31,1390777,1784
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,1075531,1996
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,1701605,2017
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,1364742,1988
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,9389,1880
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",1957-03-04,14272,1989
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1383312,1962
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995-02-24,885725,1979
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,908255,1880
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1037540,1970
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",1988-05-31,831001,1998
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217,1919
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,1971
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783180,2020 (1915)
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1957-03-04,18230,1925
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",2006-11-10,1138118,1906
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,1051470,1994
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,1972
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,1988
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,1402057,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,1306830,1918
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,804753,1979
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,1739940,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",1957-03-04,21665,1806
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,28412,1849
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2015-09-18,1166691,1963
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,26172,1919
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,811156,1886
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,927628,1935
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,1989
COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,909832,1976
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982
CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,277948,1980
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,1596783,2007
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03,1755672,2019
CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",1999-12-01,877890,1989
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803,1996
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2016-02-22,1358071,2004
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,27904,1929
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",2019-04-02,1666700,2017
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612,1985
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,29534,1939
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,1022079,1967
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",2005-06-22,882184,1978
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923
DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,"Silver Spring, Maryland",2010-03-01,1437107,1985
DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,"Silver Spring, Maryland",2014-08-07,1437107,1985
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,1001082,1980
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",2016-05-18,1297996,2004
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,935703,1986
DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,29905,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,783280,1972
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,927066,1979
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,1971
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,1688568,2017
DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,1982
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989-01-31,31462,1923
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862,1823
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
EL,Estée Lauder Companies,Consumer Staples,Personal Products,"New York, New York",2006-01-05,1001250,1946
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,915389,1920
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,1999
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,1101239,1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,906107,1969
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,1966
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"San Mateo, California",2014-04-02,920522,1971
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",2020-09-21,1370637,2005
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909
